model_name,scenario_name,epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,learning_rate,epoch_time_seconds,improved_selection_metric,selection_metric,selection_mode
lstm,lr_5e5_weight_decay,1,0.6927961202082427,0.5099130434782608,0.5221359223300971,0.23382608695652174,0.323003003003003,0.6905272693634034,0.751,0.7209507042253521,0.819,0.7668539325842697,5e-05,12.825975458952598,True,val_f1,max
lstm,lr_5e5_weight_decay,2,0.5818510795157888,0.7106521739130435,0.7042063558964848,0.7264347826086957,0.7151478834053846,0.4064763989448547,0.8405,0.8415245737211635,0.839,0.8402603905858789,5e-05,12.85668487509247,True,val_f1,max
lstm,lr_5e5_weight_decay,3,0.35567655448291613,0.8622608695652174,0.862828775474656,0.8614782608695652,0.8621529892959707,0.3359457758665085,0.867,0.8570038910505836,0.881,0.868836291913215,5e-05,12.776375749963336,True,val_f1,max
lstm,lr_5e5_weight_decay,4,0.2873546632372815,0.8918695652173914,0.8910195227765727,0.8929565217391304,0.8919869706840391,0.3061529550552368,0.881,0.8864097363083164,0.874,0.8801611278952669,5e-05,12.802888624952175,True,val_f1,max
lstm,lr_5e5_weight_decay,5,0.24744962978363036,0.9081304347826087,0.9078821586860172,0.9084347826086957,0.908158386577998,0.2984058495759964,0.8855,0.9088016967126193,0.857,0.8821410190427175,5e-05,12.709390167030506,True,val_f1,max
lstm,lr_5e5_weight_decay,6,0.2166065565140351,0.9208260869565218,0.9211556870594378,0.9204347826086956,0.92079509373233,0.294618687748909,0.8805,0.9122426868905742,0.842,0.875715028601144,5e-05,12.668752250028774,False,val_f1,max
lstm,lr_5e5_weight_decay,7,0.19093282990351967,0.9329565217391305,0.9344677137870855,0.9312173913043478,0.9328397212543554,0.2920595605373383,0.887,0.9039665970772442,0.866,0.8845760980592441,5e-05,12.689876249991357,True,val_f1,max
lstm,lr_5e5_weight_decay,8,0.16772000313841778,0.9414347826086956,0.9426279536140901,0.9400869565217391,0.9413557403456834,0.3505771532058716,0.874,0.9230769230769231,0.816,0.8662420382165605,5e-05,12.600610833032988,False,val_f1,max
lstm,lr_5e5_weight_decay,9,0.14964441112850024,0.9498695652173913,0.9521894939253561,0.947304347826087,0.9497406390305566,0.29524051856994626,0.884,0.9016736401673641,0.862,0.8813905930470347,5e-05,12.628465833025984,False,val_f1,max
lstm,lr_5e5_weight_decay,10,0.13260693197146706,0.9584782608695652,0.9604401362326435,0.9563478260869566,0.9583896126530435,0.32397988986968995,0.89,0.877906976744186,0.906,0.8917322834645669,5e-05,12.66135933296755,True,val_f1,max
lstm,lr_5e5_weight_decay,11,0.11617749533445938,0.9652173913043478,0.9672489082969432,0.9630434782608696,0.9651416122004357,0.34648040735721586,0.8815,0.8857431749241659,0.876,0.8808446455505279,5e-05,12.597555916989222,False,val_f1,max
lstm,lr_5e5_weight_decay,12,0.10290240960535796,0.9697826086956521,0.971052402127474,0.9684347826086956,0.9697418259393095,0.3499425117969513,0.8825,0.8996865203761756,0.861,0.8799182422074604,5e-05,12.52164683304727,False,val_f1,max
lstm,lr_5e5_weight_decay,13,0.09155447010371996,0.974304347826087,0.975835296170287,0.9726956521739131,0.9742629447371859,0.4086450502872467,0.8765,0.9009584664536742,0.846,0.8726147498710676,5e-05,12.541841375059448,False,val_f1,max
lstm,lr_5e5_weight_decay,14,0.0823415751716365,0.9780869565217392,0.9793374019180471,0.9767826086956521,0.9780583369612538,0.4072097531557083,0.876,0.8813387423935092,0.869,0.8751258811681772,5e-05,12.654546874924563,False,val_f1,max
