fold,config_1,config_10,config_2,config_3,config_4,config_5,config_6,config_7,config_8,config_9
1,0.9323261088585418,0.9385778903237847,0.9359905656321544,0.9388498262621415,0.9370220621085583,0.9403103304217824,0.9373497621262876,0.9374223283268383,0.9386980837751252,0.9365046722643112
2,0.9357494812992664,0.9424106491336445,0.9409312651576874,0.9405272670510316,0.9388811130028608,0.9341050556369765,0.9398527666400993,0.9420006267616404,0.9375071461293416,0.9485738203577689
3,0.9360735117973853,0.9467721314979788,0.9420868168772737,0.9444626557224917,0.9417147751039321,0.9427976835951476,0.9438560463535006,0.9424944156832277,0.9421663961440311,0.9458513868008991
4,0.9387166345448623,0.9467465480080575,0.9433214287670747,0.9458028919385651,0.9427668299438771,0.9326910394452826,0.9469922217088985,0.9432191459422847,0.9428370060546427,0.9497137670386068
5,0.9386484855773273,0.9411252679043923,0.9341807892417008,0.9386648403379783,0.93817594238883,0.9342167594431504,0.9386237739999973,0.9351264765544364,0.9379608282522945,0.9425252126774003
6,0.9388962002527264,0.9441165456030587,0.9384371079882489,0.9438270213268402,0.9447359832018812,0.9337982926455319,0.9438879714550625,0.9424695832537674,0.9431757670733566,0.9429447947767428
7,0.9456221583543147,0.9496743118043557,0.9510753490337605,0.9478597694203973,0.9466836779453619,0.9498322958464273,0.9503499232484292,0.9512713479588406,0.9488923190515565,0.9509629737060327
8,0.9327063356396967,0.9397164056237048,0.9386771620432511,0.9418839589627732,0.9390167050881338,0.9358136181610484,0.9406816074141535,0.9404135523087264,0.944065059720991,0.9409603118888191
9,0.9345314098733539,0.9478668377889534,0.9414572332707535,0.9401582562540568,0.9426793399132884,0.9375407672988282,0.9420692824086626,0.9432848137197575,0.946621071781313,0.9521009397421313
10,0.9416740198739145,0.9484452323155262,0.9388519765430864,0.9446990445574629,0.9464068497456566,0.937722203307384,0.9540698036117046,0.9412628594147572,0.9480525269629033,0.9513764799282125
